 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 227900      1.77e-01    1.95e-01      4.49e-03    5.64e-03      1.65e-02    1.81e-02    1.0e-04
 228000      1.99e-01    1.52e-01      7.35e-03    1.46e-02      1.79e-02    1.27e-02    1.0e-04
 228100      1.82e-01    1.97e-01      3.20e-03    6.22e-03      1.74e-02    1.80e-02    1.0e-04
 228200      1.68e-01    1.87e-01      3.25e-03    3.91e-03      1.61e-02    1.78e-02    1.0e-04
 228300      1.60e-01    2.06e-01      6.15e-03    2.88e-03      1.41e-02    1.98e-02    1.0e-04
 228400      1.78e-01    2.02e-01      3.73e-03    2.89e-03      1.68e-02    1.94e-02    1.0e-04
 228500      1.81e-01    1.64e-01      3.21e-03    7.31e-03      1.69e-02    1.40e-02    1.0e-04
 228600      1.64e-01    1.86e-01      5.16e-03    1.51e-03      1.49e-02    1.80e-02    1.0e-04
 228700      1.90e-01    1.59e-01      2.16e-03    4.29e-03      1.83e-02    1.50e-02    1.0e-04
 228800      1.51e-01    2.01e-01      1.78e-03    5.15e-03      1.46e-02    1.88e-02    1.0e-04
 228900      1.79e-01    1.78e-01      2.81e-03    4.14e-03      1.71e-02    1.68e-02    1.0e-04
 229000      1.69e-01    1.94e-01      3.84e-03    2.39e-03      1.57e-02    1.87e-02    1.0e-04
 229100      1.67e-01    1.60e-01      3.20e-03    2.64e-03      1.59e-02    1.53e-02    1.0e-04
 229200      1.66e-01    1.77e-01      2.09e-03    1.36e-03      1.60e-02    1.72e-02    1.0e-04
 229300      1.88e-01    1.80e-01      7.59e-03    7.24e-03      1.62e-02    1.62e-02    1.0e-04
 229400      2.15e-01    1.51e-01      7.57e-03    1.44e-02      1.94e-02    1.26e-02    1.0e-04
 229500      1.96e-01    1.25e-01      9.87e-03    6.00e-04      1.57e-02    1.22e-02    1.0e-04
 229600      1.73e-01    2.03e-01      2.04e-03    1.64e-03      1.66e-02    1.97e-02    1.0e-04
 229700      1.87e-01    1.86e-01      2.57e-03    4.61e-03      1.80e-02    1.74e-02    1.0e-04
 229800      1.93e-01    1.47e-01      4.42e-03    1.02e-02      1.83e-02    1.32e-02    1.0e-04
 229900      1.78e-01    2.19e-01      1.51e-03    2.32e-03      1.72e-02    2.12e-02    1.0e-04
 230000      1.64e-01    1.44e-01      1.09e-03    5.43e-03      1.68e-02    1.35e-02    9.4e-05
 230100      1.64e-01    1.80e-01      3.37e-03    5.00e-03      1.62e-02    1.78e-02    9.4e-05
 230200      2.17e-01    1.99e-01      6.78e-03    9.89e-03      2.10e-02    1.96e-02    9.4e-05
 230300      1.44e-01    1.66e-01      1.74e-03    1.65e-02      1.46e-02    1.43e-02    9.4e-05
 230400      2.08e-01    1.44e-01      9.01e-03    3.50e-03      1.99e-02    1.42e-02    9.4e-05
 230500      1.57e-01    1.79e-01      7.91e-04    1.17e-02      1.61e-02    1.72e-02    9.4e-05
 230600      1.63e-01    1.31e-01      3.30e-03    4.14e-03      1.64e-02    1.27e-02    9.4e-05
 230700      1.86e-01    1.49e-01      5.48e-03    4.22e-03      1.75e-02    1.47e-02    9.4e-05
 230800      1.98e-01    1.59e-01      7.42e-04    4.30e-03      2.02e-02    1.61e-02    9.4e-05
 230900      1.95e-01    1.91e-01      4.70e-03    6.19e-04      1.91e-02    1.95e-02    9.4e-05
 231000      1.33e-01    1.93e-01      1.09e-03    4.39e-03      1.36e-02    1.93e-02    9.4e-05
 231100      2.07e-01    2.24e-01      4.92e-03    5.15e-03      2.05e-02    2.22e-02    9.4e-05
 231200      1.97e-01    1.35e-01      6.38e-03    2.49e-03      1.91e-02    1.35e-02    9.4e-05
 231300      1.72e-01    1.85e-01      2.01e-03    7.21e-04      1.75e-02    1.89e-02    9.4e-05
 231400      1.89e-01    1.61e-01      5.61e-03    5.30e-03      1.85e-02    1.54e-02    9.4e-05
 231500      1.72e-01    1.95e-01      3.01e-03    2.78e-05      1.76e-02    1.99e-02    9.4e-05
 231600      2.10e-01    1.51e-01      1.42e-03    1.00e-03      2.15e-02    1.54e-02    9.4e-05
 231700      1.92e-01    2.04e-01      5.51e-03    5.98e-03      1.91e-02    1.98e-02    9.4e-05
 231800      1.54e-01    2.01e-01      3.62e-03    2.60e-03      1.52e-02    2.03e-02    9.4e-05
 231900      1.58e-01    1.33e-01      6.09e-03    2.57e-04      1.45e-02    1.36e-02    9.4e-05
 232000      2.02e-01    1.72e-01      6.97e-03    7.27e-03      1.92e-02    1.58e-02    9.4e-05
 232100      2.00e-01    1.39e-01      1.14e-02    5.37e-03      1.56e-02    1.40e-02    9.4e-05
 232200      1.59e-01    1.36e-01      2.35e-03    4.37e-03      1.59e-02    1.31e-02    9.4e-05
 232300      1.70e-01    1.41e-01      2.62e-03    3.93e-03      1.71e-02    1.43e-02    9.4e-05
 232400      1.74e-01    1.53e-01      4.18e-03    3.02e-03      1.73e-02    1.54e-02    9.4e-05
 232500      1.72e-01    1.57e-01      1.06e-03    6.67e-03      1.76e-02    1.43e-02    9.4e-05
 232600      1.93e-01    1.78e-01      1.05e-03    7.20e-04      1.97e-02    1.82e-02    9.4e-05
 232700      1.89e-01    1.93e-01      8.04e-03    6.03e-03      1.81e-02    1.86e-02    9.4e-05
 232800      1.67e-01    1.53e-01      5.77e-03    6.33e-03      1.61e-02    1.41e-02    9.4e-05
 232900      1.55e-01    1.74e-01      6.35e-04    2.49e-03      1.59e-02    1.76e-02    9.4e-05
 233000      1.58e-01    1.89e-01      2.08e-03    9.48e-04      1.61e-02    1.93e-02    9.4e-05
 233100      1.81e-01    1.58e-01      2.31e-03    3.73e-04      1.84e-02    1.62e-02    9.4e-05
 233200      1.91e-01    1.24e-01      3.93e-03    8.59e-03      1.92e-02    1.18e-02    9.4e-05
 233300      1.53e-01    1.71e-01      2.08e-03    2.49e-03      1.56e-02    1.74e-02    9.4e-05
 233400      1.77e-01    1.62e-01      3.14e-03    6.72e-03      1.78e-02    1.48e-02    9.4e-05
 233500      1.63e-01    1.69e-01      7.08e-03    3.59e-03      1.47e-02    1.69e-02    9.4e-05
 233600      2.02e-01    1.59e-01      3.18e-03    4.14e-03      2.03e-02    1.57e-02    9.4e-05
 233700      2.09e-01    1.43e-01      4.74e-03    3.11e-03      2.07e-02    1.42e-02    9.4e-05
 233800      2.00e-01    2.33e-01      5.30e-03    4.24e-03      1.87e-02    2.34e-02    9.4e-05
 233900      1.53e-01    1.62e-01      1.97e-03    1.37e-02      1.55e-02    1.48e-02    9.4e-05
 234000      1.41e-01    1.67e-01      4.66e-03    1.89e-03      1.31e-02    1.70e-02    9.4e-05
 234100      1.67e-01    1.13e-01      2.30e-03    7.20e-03      1.68e-02    1.09e-02    9.4e-05
 234200      1.78e-01    1.78e-01      1.15e-03    1.01e-04      1.82e-02    1.83e-02    9.4e-05
 234300      1.60e-01    2.42e-01      4.72e-03    2.00e-03      1.54e-02    2.47e-02    9.4e-05
 234400      1.94e-01    1.83e-01      3.00e-03    2.46e-03      1.96e-02    1.86e-02    9.4e-05
 234500      1.72e-01    1.62e-01      6.77e-03    7.53e-03      1.59e-02    1.43e-02    9.4e-05
 234600      1.83e-01    1.76e-01      4.31e-03    2.53e-03      1.82e-02    1.78e-02    9.4e-05
 234700      1.79e-01    1.40e-01      5.05e-03    2.23e-03      1.72e-02    1.43e-02    9.4e-05
 234800      1.80e-01    1.61e-01      8.71e-03    3.99e-03      1.56e-02    1.59e-02    9.4e-05
 234900      1.74e-01    2.42e-01      7.91e-03    1.47e-03      1.52e-02    2.47e-02    9.4e-05
 235000      1.81e-01    1.33e-01      5.30e-03    3.09e-03      1.72e-02    1.33e-02    9.4e-05
 235100      1.95e-01    1.71e-01      7.67e-04    1.17e-03      2.00e-02    1.74e-02    9.4e-05
 235200      1.66e-01    1.77e-01      7.52e-03    7.08e-03      1.52e-02    1.68e-02    9.4e-05
 235300      2.31e-01    1.90e-01      1.25e-02    1.08e-02      1.97e-02    1.53e-02    9.4e-05
 235400      1.50e-01    1.41e-01      5.06e-03    2.10e-03      1.48e-02    1.43e-02    9.4e-05
 235500      1.81e-01    1.57e-01      3.56e-03    9.30e-03      1.79e-02    1.52e-02    9.4e-05
 235600      1.47e-01    1.99e-01      4.47e-03    4.99e-03      1.46e-02    1.96e-02    9.4e-05
 235700      1.55e-01    1.61e-01      1.36e-03    3.68e-05      1.57e-02    1.65e-02    9.4e-05
 235800      1.71e-01    1.46e-01      3.89e-03    1.34e-03      1.70e-02    1.49e-02    9.4e-05
 235900      1.65e-01    1.45e-01      2.95e-03    5.47e-04      1.64e-02    1.48e-02    9.4e-05
 236000      1.57e-01    1.37e-01      3.78e-03    1.21e-03      1.56e-02    1.40e-02    9.4e-05
 236100      1.96e-01    2.31e-01      5.25e-03    4.84e-03      1.92e-02    2.30e-02    9.4e-05
 236200      1.70e-01    1.94e-01      3.64e-03    2.04e-03      1.69e-02    1.97e-02    9.4e-05
 236300      1.80e-01    1.43e-01      5.59e-03    3.61e-04      1.75e-02    1.46e-02    9.4e-05
 236400      1.58e-01    2.12e-01      5.00e-03    1.59e-02      1.55e-02    1.98e-02    9.4e-05
 236500      1.95e-01    1.28e-01      3.36e-03    3.06e-03      1.96e-02    1.26e-02    9.4e-05
 236600      1.48e-01    1.56e-01      2.90e-03    4.04e-03      1.48e-02    1.53e-02    9.4e-05
 236700      1.90e-01    2.11e-01      1.99e-03    2.27e-03      1.93e-02    2.15e-02    9.4e-05
 236800      1.92e-01    2.57e-01      2.16e-03    5.86e-03      1.95e-02    2.55e-02    9.4e-05
 236900      2.10e-01    1.99e-01      1.98e-03    1.55e-03      2.14e-02    2.03e-02    9.4e-05
 237000      1.70e-01    2.11e-01      1.53e-03    3.29e-03      1.74e-02    2.13e-02    9.4e-05
 237100      1.84e-01    1.55e-01      5.12e-03    4.59e-03      1.78e-02    1.52e-02    9.4e-05
 237200      2.19e-01    2.16e-01      1.37e-03    1.53e-03      2.23e-02    2.20e-02    9.4e-05
 237300      1.82e-01    1.50e-01      2.83e-03    5.48e-03      1.84e-02    1.51e-02    9.4e-05
 237400      1.55e-01    1.58e-01      4.17e-03    2.93e-03      1.56e-02    1.59e-02    9.4e-05
 237500      1.81e-01    2.22e-01      4.99e-03    1.46e-03      1.73e-02    2.27e-02    9.4e-05
 237600      1.53e-01    1.73e-01      3.36e-03    4.26e-03      1.50e-02    1.76e-02    9.4e-05
 237700      1.60e-01    1.49e-01      5.20e-03    6.03e-03      1.52e-02    1.48e-02    9.4e-05
 237800      1.59e-01    1.08e-01      4.94e-03    3.89e-03      1.51e-02    1.08e-02    9.4e-05
 237900      1.87e-01    1.63e-01      4.47e-03    3.17e-03      1.84e-02    1.65e-02    9.4e-05
 238000      1.69e-01    1.79e-01      1.20e-03    1.16e-02      1.72e-02    1.72e-02    9.4e-05
 238100      1.77e-01    1.55e-01      3.10e-03    2.16e-03      1.77e-02    1.57e-02    9.4e-05
 238200      1.60e-01    1.36e-01      2.23e-03    5.24e-03      1.60e-02    1.26e-02    9.4e-05
 238300      1.60e-01    1.71e-01      3.10e-03    3.37e-03      1.61e-02    1.74e-02    9.4e-05
 238400      1.38e-01    1.61e-01      2.56e-03    6.82e-03      1.39e-02    1.60e-02    9.4e-05
 238500      1.92e-01    2.08e-01      2.86e-03    6.77e-03      1.94e-02    2.09e-02    9.4e-05
 238600      2.06e-01    1.84e-01      1.12e-02    9.36e-03      1.77e-02    1.60e-02    9.4e-05
 238700      1.96e-01    2.04e-01      7.76e-03    7.71e-03      1.85e-02    1.91e-02    9.4e-05
 238800      1.75e-01    1.27e-01      3.82e-03    3.39e-03      1.75e-02    1.24e-02    9.4e-05
 238900      1.74e-01    1.83e-01      3.87e-03    9.17e-03      1.74e-02    1.58e-02    9.4e-05
 239000      1.56e-01    2.76e-01      2.63e-03    3.28e-03      1.57e-02    2.80e-02    9.4e-05
 239100      1.82e-01    1.34e-01      3.92e-03    4.68e-03      1.82e-02    1.27e-02    9.4e-05
 239200      1.83e-01    1.59e-01      4.55e-03    1.29e-02      1.79e-02    1.46e-02    9.4e-05
 239300      1.63e-01    1.85e-01      3.44e-03    4.25e-03      1.61e-02    1.85e-02    9.4e-05
 239400      1.57e-01    2.81e-01      3.52e-03    1.47e-03      1.56e-02    2.88e-02    9.4e-05
 239500      1.49e-01    1.87e-01      3.48e-04    6.14e-03      1.52e-02    1.80e-02    9.4e-05
 239600      1.71e-01    1.54e-01      3.75e-03    3.19e-03      1.72e-02    1.56e-02    9.4e-05
 239700      1.71e-01    1.46e-01      2.90e-03    1.25e-03      1.73e-02    1.49e-02    9.4e-05
 239800      1.44e-01    2.05e-01      6.44e-03    5.45e-03      1.40e-02    2.01e-02    9.4e-05
 239900      1.93e-01    1.54e-01      3.69e-03    2.61e-03      1.93e-02    1.55e-02    9.4e-05
 240000      1.88e-01    1.48e-01      4.83e-03    1.05e-02      1.96e-02    1.47e-02    8.5e-05
 240100      1.59e-01    1.50e-01      5.05e-03    2.43e-03      1.55e-02    1.60e-02    8.5e-05
 240200      1.74e-01    1.30e-01      4.59e-03    3.25e-03      1.76e-02    1.36e-02    8.5e-05
 240300      1.53e-01    1.65e-01      2.37e-03    6.80e-04      1.63e-02    1.78e-02    8.5e-05
 240400      2.17e-01    1.45e-01      1.21e-02    1.79e-03      1.84e-02    1.55e-02    8.5e-05
 240500      1.66e-01    2.02e-01      5.59e-03    2.73e-03      1.61e-02    2.16e-02    8.5e-05
 240600      1.50e-01    1.50e-01      2.87e-03    1.20e-02      1.58e-02    1.46e-02    8.5e-05
 240700      1.70e-01    1.57e-01      2.39e-03    8.78e-04      1.78e-02    1.69e-02    8.5e-05
 240800      1.68e-01    1.85e-01      7.94e-04    3.49e-03      1.80e-02    1.95e-02    8.5e-05
 240900      1.76e-01    1.29e-01      4.61e-03    1.08e-02      1.82e-02    1.24e-02    8.5e-05
 241000      1.59e-01    2.15e-01      6.73e-03    1.05e-03      1.48e-02    2.31e-02    8.5e-05
 241100      1.77e-01    1.85e-01      4.83e-03    5.74e-03      1.83e-02    1.88e-02    8.5e-05
 241200      1.75e-01    1.54e-01      3.70e-03    5.64e-03      1.83e-02    1.63e-02    8.5e-05
 241300      1.79e-01    1.53e-01      1.07e-03    2.57e-03      1.93e-02    1.62e-02    8.5e-05
 241400      1.60e-01    1.87e-01      4.09e-03    9.04e-03      1.66e-02    1.73e-02    8.5e-05
 241500      1.81e-01    1.69e-01      1.37e-03    6.50e-03      1.95e-02    1.66e-02    8.5e-05
 241600      1.78e-01    1.41e-01      4.26e-03    1.86e-03      1.82e-02    1.50e-02    8.5e-05
 241700      1.80e-01    2.06e-01      4.62e-03    1.32e-02      1.85e-02    1.60e-02    8.5e-05
 241800      1.40e-01    1.24e-01      3.62e-03    3.06e-03      1.46e-02    1.29e-02    8.5e-05
 241900      1.76e-01    1.66e-01      3.25e-03    7.76e-03      1.80e-02    1.55e-02    8.5e-05
 242000      1.57e-01    1.56e-01      2.40e-03    2.57e-03      1.67e-02    1.65e-02    8.5e-05
 242100      1.73e-01    1.58e-01      8.28e-04    3.46e-03      1.86e-02    1.66e-02    8.5e-05
 242200      1.42e-01    1.34e-01      3.48e-03    1.42e-03      1.49e-02    1.43e-02    8.5e-05
 242300      1.46e-01    1.29e-01      3.52e-03    7.46e-04      1.51e-02    1.39e-02    8.5e-05
 242400      1.78e-01    1.96e-01      4.81e-03    7.61e-04      1.79e-02    2.11e-02    8.5e-05
 242500      1.75e-01    1.49e-01      4.74e-03    3.09e-03      1.82e-02    1.56e-02    8.5e-05
 242600      1.77e-01    1.84e-01      2.51e-03    2.16e-03      1.86e-02    1.96e-02    8.5e-05
 242700      1.72e-01    1.90e-01      4.02e-03    3.40e-03      1.77e-02    2.01e-02    8.5e-05
 242800      1.62e-01    2.04e-01      4.09e-03    3.62e-03      1.69e-02    2.16e-02    8.5e-05
 242900      1.95e-01    1.47e-01      8.88e-03    3.67e-03      1.96e-02    1.54e-02    8.5e-05
 243000      1.60e-01    1.70e-01      2.04e-03    4.13e-04      1.70e-02    1.83e-02    8.5e-05
 243100      1.63e-01    1.23e-01      7.82e-03    3.93e-04      1.65e-02    1.32e-02    8.5e-05
 243200      1.73e-01    1.36e-01      2.53e-03    3.08e-04      1.84e-02    1.46e-02    8.5e-05
 243300      1.45e-01    1.48e-01      4.49e-03    3.07e-03      1.47e-02    1.56e-02    8.5e-05
 243400      2.15e-01    1.19e-01      3.37e-03    4.78e-03      2.28e-02    1.25e-02    8.5e-05
 243500      1.49e-01    2.16e-01      5.12e-03    9.65e-03      1.50e-02    2.04e-02    8.5e-05
 243600      1.81e-01    1.60e-01      9.84e-04    5.92e-04      1.94e-02    1.72e-02    8.5e-05
 243700      1.53e-01    1.75e-01      4.35e-03    5.56e-03      1.56e-02    1.78e-02    8.5e-05
 243800      1.51e-01    1.33e-01      3.27e-03    2.71e-03      1.60e-02    1.39e-02    8.5e-05
 243900      1.90e-01    1.88e-01      7.41e-03    1.40e-02      1.89e-02    1.85e-02    8.5e-05
 244000      1.81e-01    2.10e-01      9.24e-04    2.70e-03      1.94e-02    2.24e-02    8.5e-05
 244100      1.96e-01    1.21e-01      6.07e-03    7.47e-03      2.00e-02    1.23e-02    8.5e-05
 244200      1.57e-01    1.44e-01      2.41e-03    5.51e-03      1.68e-02    1.51e-02    8.5e-05
 244300      1.81e-01    1.62e-01      6.24e-03    8.24e-03      1.82e-02    1.54e-02    8.5e-05
 244400      1.97e-01    1.48e-01      2.26e-03    6.35e-03      2.10e-02    1.55e-02    8.5e-05
 244500      1.55e-01    1.37e-01      2.05e-03    6.42e-03      1.65e-02    1.43e-02    8.5e-05
 244600      1.37e-01    1.82e-01      1.86e-03    4.08e-03      1.46e-02    1.90e-02    8.5e-05
 244700      1.48e-01    1.69e-01      3.45e-03    3.15e-03      1.53e-02    1.79e-02    8.5e-05
 244800      2.07e-01    1.27e-01      4.84e-03    1.47e-03      2.14e-02    1.35e-02    8.5e-05
 244900      1.66e-01    1.17e-01      4.94e-03    8.24e-03      1.66e-02    1.17e-02    8.5e-05
 245000      1.55e-01    1.63e-01      5.34e-03    8.86e-03      1.62e-02    1.42e-02    8.5e-05
 245100      1.47e-01    1.72e-01      4.29e-03    7.16e-04      1.51e-02    1.85e-02    8.5e-05
 245200      1.50e-01    1.21e-01      7.10e-03    1.19e-03      1.49e-02    1.30e-02    8.5e-05
 245300      1.78e-01    1.42e-01      1.84e-03    9.56e-05      1.90e-02    1.52e-02    8.5e-05
 245400      2.19e-01    1.54e-01      9.34e-03    7.26e-03      2.10e-02    1.44e-02    8.5e-05
 245500      1.79e-01    1.48e-01      2.61e-03    4.15e-03      1.90e-02    1.52e-02    8.5e-05
 245600      1.64e-01    1.54e-01      6.12e-03    4.23e-03      1.71e-02    1.59e-02    8.5e-05
 245700      1.68e-01    1.76e-01      2.36e-03    9.29e-04      1.79e-02    1.89e-02    8.5e-05
 245800      1.65e-01    1.55e-01      3.66e-03    1.42e-03      1.73e-02    1.66e-02    8.5e-05
 245900      1.79e-01    1.20e-01      3.38e-03    6.45e-03      1.84e-02    1.24e-02    8.5e-05
 246000      1.40e-01    1.39e-01      3.83e-03    1.80e-03      1.46e-02    1.48e-02    8.5e-05
 246100      1.77e-01    1.24e-01      4.70e-03    8.83e-03      1.82e-02    1.23e-02    8.5e-05
 246200      1.44e-01    1.31e-01      1.86e-03    1.87e-03      1.54e-02    1.40e-02    8.5e-05
 246300      1.53e-01    1.79e-01      4.83e-03    3.16e-03      1.57e-02    1.89e-02    8.5e-05
 246400      2.11e-01    1.79e-01      2.88e-03    1.17e-03      2.26e-02    1.92e-02    8.5e-05
 246500      1.60e-01    2.18e-01      8.74e-03    2.53e-04      1.36e-02    2.34e-02    8.5e-05
 246600      1.59e-01    1.47e-01      2.18e-03    3.09e-03      1.69e-02    1.56e-02    8.5e-05
 246700      1.61e-01    1.38e-01      4.31e-03    8.63e-05      1.65e-02    1.48e-02    8.5e-05
 246800      1.78e-01    1.74e-01      3.81e-03    5.83e-03      1.87e-02    1.75e-02    8.5e-05
 246900      1.91e-01    1.39e-01      7.43e-03    8.97e-03      1.90e-02    1.41e-02    8.5e-05
 247000      1.51e-01    1.48e-01      7.23e-03    1.22e-02      1.46e-02    1.42e-02    8.5e-05
 247100      1.83e-01    1.93e-01      1.50e-03    1.85e-03      1.97e-02    2.06e-02    8.5e-05
 247200      1.89e-01    1.91e-01      3.46e-03    3.28e-03      1.99e-02    2.02e-02    8.5e-05
 247300      1.73e-01    1.66e-01      1.51e-03    8.02e-03      1.86e-02    1.52e-02    8.5e-05
 247400      1.63e-01    1.61e-01      2.08e-03    8.73e-03      1.74e-02    1.66e-02    8.5e-05
 247500      1.75e-01    1.41e-01      1.47e-03    5.76e-04      1.87e-02    1.52e-02    8.5e-05
 247600      1.71e-01    1.28e-01      1.98e-03    5.28e-03      1.83e-02    1.34e-02    8.5e-05
 247700      1.53e-01    1.61e-01      2.31e-03    5.09e-03      1.60e-02    1.62e-02    8.5e-05
 247800      1.68e-01    1.49e-01      3.47e-03    2.75e-03      1.77e-02    1.57e-02    8.5e-05
 247900      1.64e-01    2.16e-01      4.60e-03    8.06e-03      1.68e-02    2.12e-02    8.5e-05
 248000      1.52e-01    1.68e-01      3.01e-03    4.91e-03      1.60e-02    1.72e-02    8.5e-05
 248100      1.79e-01    1.55e-01      5.36e-03    2.34e-03      1.77e-02    1.65e-02    8.5e-05
 248200      1.66e-01    1.82e-01      3.43e-03    4.13e-03      1.74e-02    1.90e-02    8.5e-05
 248300      1.58e-01    1.95e-01      4.59e-03    1.23e-02      1.63e-02    1.97e-02    8.5e-05
 248400      1.71e-01    2.12e-01      4.94e-03    1.80e-03      1.72e-02    2.27e-02    8.5e-05
 248500      1.62e-01    1.60e-01      2.90e-03    1.22e-03      1.68e-02    1.72e-02    8.5e-05
 248600      1.68e-01    1.66e-01      4.29e-03    1.18e-02      1.77e-02    1.65e-02    8.5e-05
 248700      1.51e-01    1.82e-01      7.31e-03    5.47e-05      1.48e-02    1.96e-02    8.5e-05
 248800      1.59e-01    2.02e-01      6.47e-03    8.48e-03      1.61e-02    2.12e-02    8.5e-05
 248900      1.43e-01    1.80e-01      1.98e-03    4.64e-03      1.53e-02    1.87e-02    8.5e-05
 249000      1.66e-01    1.50e-01      7.63e-03    4.26e-03      1.50e-02    1.55e-02    8.5e-05
 249100      1.68e-01    1.60e-01      6.60e-03    1.85e-03      1.60e-02    1.71e-02    8.5e-05
 249200      1.51e-01    2.04e-01      3.60e-03    3.47e-04      1.54e-02    2.19e-02    8.5e-05
 249300      1.92e-01    1.41e-01      1.11e-03    8.39e-03      2.06e-02    1.43e-02    8.5e-05
 249400      1.43e-01    1.22e-01      3.82e-03    1.94e-03      1.48e-02    1.31e-02    8.5e-05
 249500      1.87e-01    1.40e-01      2.07e-03    3.59e-03      1.99e-02    1.47e-02    8.5e-05
 249600      1.69e-01    1.53e-01      4.23e-03    2.88e-03      1.75e-02    1.61e-02    8.5e-05
 249700      1.86e-01    1.89e-01      5.54e-03    6.07e-03      1.92e-02    1.91e-02    8.5e-05
 249800      1.68e-01    1.71e-01      5.01e-03    7.58e-03      1.65e-02    1.61e-02    8.5e-05
 249900      1.79e-01    1.85e-01      4.60e-03    1.77e-03      1.85e-02    1.98e-02    8.5e-05
 250000      1.55e-01    1.86e-01      8.17e-03    1.22e-03      1.34e-02    2.10e-02    7.7e-05
 250100      1.78e-01    1.60e-01      3.40e-03    3.70e-03      1.96e-02    1.76e-02    7.7e-05
 250200      1.71e-01    1.86e-01      2.28e-03    1.71e-03      1.91e-02    2.10e-02    7.7e-05
 250300      1.64e-01    1.38e-01      4.83e-03    2.47e-03      1.78e-02    1.54e-02    7.7e-05
 250400      1.65e-01    1.09e-01      2.91e-03    6.23e-03      1.82e-02    1.17e-02    7.7e-05
 250500      1.61e-01    1.50e-01      3.93e-03    9.34e-03      1.78e-02    1.59e-02    7.7e-05
 250600      1.57e-01    1.38e-01      2.77e-03    3.49e-03      1.75e-02    1.51e-02    7.7e-05
 250700      1.71e-01    1.10e-01      4.35e-03    6.78e-03      1.87e-02    1.18e-02    7.7e-05
 250800      1.81e-01    1.28e-01      3.55e-03    3.38e-03      2.01e-02    1.39e-02    7.7e-05
 250900      1.97e-01    1.45e-01      7.30e-03    9.72e-03      2.08e-02    1.53e-02    7.7e-05
 251000      1.75e-01    1.28e-01      2.51e-03    2.82e-03      1.91e-02    1.42e-02    7.7e-05
 251100      1.45e-01    1.71e-01      1.50e-03    3.05e-03      1.62e-02    1.90e-02    7.7e-05
 251200      1.57e-01    1.70e-01      4.67e-03    4.62e-03      1.68e-02    1.85e-02    7.7e-05
 251300      1.45e-01    1.34e-01      2.12e-03    1.71e-03      1.62e-02    1.50e-02    7.7e-05
 251400      1.49e-01    2.07e-01      3.38e-03    2.25e-03      1.60e-02    2.33e-02    7.7e-05
 251500      2.00e-01    1.66e-01      4.64e-03    1.95e-03      2.21e-02    1.86e-02    7.7e-05
 251600      1.53e-01    1.43e-01      1.27e-03    9.71e-04      1.73e-02    1.61e-02    7.7e-05
 251700      1.73e-01    1.23e-01      3.57e-03    4.62e-03      1.91e-02    1.37e-02    7.7e-05
 251800      1.55e-01    1.67e-01      2.48e-03    9.73e-03      1.72e-02    1.79e-02    7.7e-05
 251900      1.81e-01    1.78e-01      6.76e-03    5.86e-03      1.88e-02    1.89e-02    7.7e-05
 252000      1.88e-01    1.56e-01      3.50e-03    1.09e-03      2.07e-02    1.76e-02    7.7e-05
 252100      1.40e-01    1.88e-01      3.59e-03    4.17e-03      1.54e-02    2.07e-02    7.7e-05
 252200      1.51e-01    1.60e-01      3.61e-03    2.62e-03      1.67e-02    1.78e-02    7.7e-05
 252300      1.61e-01    1.22e-01      2.58e-03    1.42e-04      1.77e-02    1.38e-02    7.7e-05
 252400      1.30e-01    1.69e-01      2.43e-03    2.09e-03      1.45e-02    1.90e-02    7.7e-05
 252500      1.43e-01    1.52e-01      2.99e-03    1.08e-03      1.55e-02    1.72e-02    7.7e-05
 252600      1.61e-01    2.02e-01      1.35e-03    8.49e-04      1.82e-02    2.29e-02    7.7e-05
 252700      1.88e-01    1.41e-01      4.31e-03    4.51e-03      2.06e-02    1.50e-02    7.7e-05
 252800      1.39e-01    1.29e-01      3.17e-03    2.33e-03      1.54e-02    1.43e-02    7.7e-05
 252900      1.68e-01    1.81e-01      1.87e-03    9.42e-04      1.88e-02    2.05e-02    7.7e-05
 253000      1.32e-01    1.59e-01      2.59e-03    3.73e-03      1.46e-02    1.78e-02    7.7e-05
 253100      1.74e-01    1.56e-01      8.06e-03    5.70e-03      1.74e-02    1.73e-02    7.7e-05
 253200      1.70e-01    1.31e-01      4.34e-03    6.72e-03      1.86e-02    1.42e-02    7.7e-05
 253300      1.63e-01    1.71e-01      1.63e-03    2.20e-03      1.84e-02    1.91e-02    7.7e-05
 253400      1.54e-01    1.91e-01      2.52e-03    9.54e-04      1.70e-02    2.16e-02    7.7e-05
 253500      1.60e-01    2.24e-01      2.15e-03    7.19e-03      1.77e-02    2.39e-02    7.7e-05
 253600      1.90e-01    1.74e-01      3.47e-03    1.93e-03      2.12e-02    1.96e-02    7.7e-05
 253700      1.58e-01    2.01e-01      3.88e-03    5.18e-03      1.69e-02    2.25e-02    7.7e-05
 253800      1.32e-01    1.55e-01      1.77e-03    1.53e-05      1.48e-02    1.76e-02    7.7e-05
 253900      1.71e-01    1.50e-01      3.10e-03    9.03e-03      1.90e-02    1.61e-02    7.7e-05
 254000      1.72e-01    1.36e-01      1.54e-03    1.85e-03      1.93e-02    1.53e-02    7.7e-05
 254100      1.59e-01    1.43e-01      2.01e-03    2.16e-03      1.78e-02    1.60e-02    7.7e-05
