 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      6.00e-01    5.29e-01      1.84e-02    1.97e-02      1.89e-02    1.67e-02    1.0e-03
   6000      7.35e-01    9.07e-01      1.52e-02    7.17e-03      2.32e-02    2.87e-02    1.0e-03
   6100      5.83e-01    5.95e-01      1.68e-03    1.93e-03      1.84e-02    1.88e-02    1.0e-03
   6200      6.04e-01    4.79e-01      2.30e-02    1.32e-04      1.91e-02    1.52e-02    1.0e-03
   6300      6.34e-01    8.13e-01      2.30e-02    1.36e-02      2.00e-02    2.57e-02    1.0e-03
   6400      7.48e-01    8.01e-01      3.39e-02    3.01e-02      2.36e-02    2.53e-02    1.0e-03
   6500      6.86e-01    8.88e-01      2.30e-02    3.66e-02      2.17e-02    2.81e-02    1.0e-03
   6600      5.75e-01    5.96e-01      2.91e-02    3.89e-02      1.81e-02    1.88e-02    1.0e-03
   6700      6.20e-01    7.05e-01      3.98e-02    3.47e-02      1.95e-02    2.23e-02    1.0e-03
   6800      6.45e-01    4.85e-01      1.38e-03    1.56e-03      2.04e-02    1.53e-02    1.0e-03
   6900      8.47e-01    6.30e-01      2.45e-02    1.79e-02      2.68e-02    1.99e-02    1.0e-03
   7000      7.02e-01    5.91e-01      1.98e-02    1.16e-02      2.22e-02    1.87e-02    1.0e-03
   7100      6.66e-01    8.17e-01      3.17e-02    7.81e-02      2.10e-02    2.57e-02    1.0e-03
   7200      6.59e-01    6.89e-01      1.53e-02    5.86e-02      2.08e-02    2.17e-02    1.0e-03
   7300      6.49e-01    5.85e-01      9.67e-03    6.37e-03      2.05e-02    1.85e-02    1.0e-03
   7400      6.91e-01    6.90e-01      1.19e-02    5.58e-03      2.18e-02    2.18e-02    1.0e-03
   7500      7.06e-01    6.12e-01      1.96e-02    1.37e-02      2.23e-02    1.93e-02    1.0e-03
   7600      6.47e-01    5.47e-01      4.15e-03    4.51e-03      2.05e-02    1.73e-02    1.0e-03
   7700      7.14e-01    7.38e-01      1.98e-02    2.03e-02      2.26e-02    2.33e-02    1.0e-03
   7800      6.13e-01    6.05e-01      3.73e-02    1.29e-02      1.93e-02    1.91e-02    1.0e-03
   7900      8.65e-01    1.08e+00      2.39e-02    1.14e-02      2.73e-02    3.43e-02    1.0e-03
   8000      6.32e-01    7.70e-01      1.15e-02    6.69e-02      2.00e-02    2.43e-02    1.0e-03
   8100      6.82e-01    9.52e-01      5.14e-03    8.33e-02      2.16e-02    3.00e-02    1.0e-03
   8200      6.15e-01    6.38e-01      1.43e-02    1.15e-02      1.95e-02    2.02e-02    1.0e-03
   8300      7.50e-01    7.02e-01      1.84e-02    1.58e-02      2.37e-02    2.22e-02    1.0e-03
   8400      8.43e-01    6.82e-01      2.78e-03    4.70e-03      2.66e-02    2.16e-02    1.0e-03
   8500      6.33e-01    7.70e-01      3.27e-03    4.38e-03      2.00e-02    2.43e-02    1.0e-03
   8600      7.19e-01    6.44e-01      6.23e-03    5.99e-03      2.27e-02    2.04e-02    1.0e-03
   8700      7.22e-01    8.94e-01      2.77e-02    7.72e-02      2.28e-02    2.82e-02    1.0e-03
   8800      8.46e-01    6.89e-01      1.61e-02    1.96e-02      2.67e-02    2.18e-02    1.0e-03
   8900      7.18e-01    6.22e-01      2.43e-02    2.47e-02      2.27e-02    1.96e-02    1.0e-03
   9000      5.78e-01    5.85e-01      9.12e-03    4.73e-04      1.83e-02    1.85e-02    1.0e-03
   9100      6.59e-01    6.28e-01      1.03e-02    5.52e-03      2.08e-02    1.98e-02    1.0e-03
   9200      7.99e-01    6.61e-01      1.26e-02    6.24e-02      2.53e-02    2.08e-02    1.0e-03
   9300      7.94e-01    5.32e-01      8.42e-04    1.45e-03      2.51e-02    1.68e-02    1.0e-03
   9400      6.97e-01    7.55e-01      1.66e-02    1.78e-02      2.20e-02    2.39e-02    1.0e-03
   9500      6.75e-01    8.24e-01      1.74e-02    1.68e-02      2.13e-02    2.60e-02    1.0e-03
   9600      9.33e-01    8.18e-01      3.64e-02    4.52e-02      2.95e-02    2.58e-02    1.0e-03
   9700      7.12e-01    6.24e-01      2.08e-03    3.99e-03      2.25e-02    1.97e-02    1.0e-03
   9800      6.06e-01    7.35e-01      8.74e-03    8.75e-03      1.92e-02    2.32e-02    1.0e-03
   9900      1.01e+00    6.54e-01      1.07e-02    7.57e-02      3.18e-02    2.06e-02    1.0e-03
  10000      5.73e-01    8.56e-01      1.20e-02    6.08e-03      1.90e-02    2.85e-02    9.0e-04
  10100      6.86e-01    7.07e-01      1.15e-02    1.21e-02      2.28e-02    2.35e-02    9.0e-04
  10200      7.28e-01    5.82e-01      1.54e-02    4.51e-02      2.42e-02    1.91e-02    9.0e-04
  10300      6.55e-01    6.51e-01      5.42e-03    9.32e-03      2.18e-02    2.16e-02    9.0e-04
  10400      8.11e-01    6.28e-01      3.21e-02    2.68e-02      2.67e-02    2.06e-02    9.0e-04
  10500      6.60e-01    7.76e-01      5.01e-02    5.23e-02      2.10e-02    2.49e-02    9.0e-04
  10600      6.22e-01    6.84e-01      8.21e-03    4.21e-04      2.07e-02    2.28e-02    9.0e-04
  10700      7.48e-01    5.82e-01      1.71e-02    6.09e-02      2.48e-02    1.90e-02    9.0e-04
  10800      6.75e-01    5.96e-01      2.52e-02    3.66e-02      2.23e-02    1.97e-02    9.0e-04
  10900      5.89e-01    5.11e-01      1.37e-02    1.20e-02      1.95e-02    1.69e-02    9.0e-04
  11000      5.66e-01    4.42e-01      7.83e-03    1.88e-04      1.88e-02    1.47e-02    9.0e-04
  11100      6.72e-01    6.32e-01      1.05e-02    1.45e-03      2.23e-02    2.10e-02    9.0e-04
  11200      6.29e-01    4.84e-01      1.64e-02    1.05e-02      2.08e-02    1.61e-02    9.0e-04
  11300      5.76e-01    7.39e-01      6.91e-03    6.59e-02      1.92e-02    2.42e-02    9.0e-04
  11400      7.04e-01    4.99e-01      3.80e-03    4.14e-03      2.34e-02    1.66e-02    9.0e-04
  11500      7.05e-01    7.19e-01      8.66e-03    9.33e-03      2.34e-02    2.39e-02    9.0e-04
  11600      7.87e-01    6.65e-01      1.62e-02    1.39e-02      2.61e-02    2.21e-02    9.0e-04
  11700      7.17e-01    6.13e-01      2.63e-02    6.50e-03      2.37e-02    2.04e-02    9.0e-04
  11800      6.08e-01    8.37e-01      3.18e-02    2.68e-02      1.99e-02    2.78e-02    9.0e-04
